開催日,レース名,距離,地肌,クラス,通時
2009/12/27,2歳未勝利,1200,ダ,未勝利,o.未勝利
2009/12/27,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/27,2歳未勝利,1800,芝,未勝利,o.未勝利
2009/12/27,2歳新馬,2000,芝,新馬,o.未勝利
2009/12/27,3歳以上500万下,1800,ダ,500万,9.1勝
2009/12/27,3歳以上1000万下,1200,ダ,1000万,8.2勝
2009/12/27,ホープフルS(OP),2000,芝,OP,6.OP
2009/12/27,グッドラックH(1000万下),2500,芝,1000万,8.2勝
2009/12/27,フェアウェルS(1600万下),1800,ダ,1600万,7.3勝
2009/12/27,有馬記念(G1),2500,芝,G1,1.G1
2009/12/27,ハッピーエンドC(1000万下),1200,芝,1000万,8.2勝
2009/12/27,2歳未勝利,1700,ダ,未勝利,o.未勝利
2009/12/27,3歳以上500万下,1000,ダ,500万,9.1勝
2009/12/27,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/27,2歳未勝利,1800,芝,未勝利,o.未勝利
2009/12/27,2歳未勝利,1200,芝,未勝利,o.未勝利
2009/12/27,3歳以上500万下,2300,ダ,500万,9.1勝
2009/12/27,3歳以上500万下,2000,芝,500万,9.1勝
2009/12/27,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/27,3歳以上500万下,1200,芝,500万,9.1勝
2009/12/27,矢作川特別(1000万下),1700,ダ,1000万,8.2勝
2009/12/27,名古屋日刊スポーツ杯(1000万下),2000,芝,1000万,8.2勝
2009/12/27,尾張S(OP),1200,芝,OP,6.OP
2009/12/27,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/27,2歳未勝利,1200,ダ,未勝利,o.未勝利
2009/12/27,2歳未勝利,2000,芝,未勝利,o.未勝利
2009/12/27,障害3歳以上OP,3110,障,OP,6.OP
2009/12/27,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/27,2歳新馬,2000,芝,新馬,o.未勝利
2009/12/27,2歳500万下,1600,芝,500万,9.1勝
2009/12/27,3歳以上500万下,1800,ダ,500万,9.1勝
2009/12/27,3歳以上1000万下,1200,ダ,1000万,8.2勝
2009/12/27,江坂特別(1000万下),2400,芝,1000万,8.2勝
2009/12/27,摩耶S(1600万下),1400,ダ,1600万,7.3勝
2009/12/27,2009ファイナルS(OP),1600,芝,OP,6.OP
2009/12/26,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/26,2歳新馬,1200,ダ,新馬,o.未勝利
2009/12/26,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/26,2歳未勝利,1200,芝,未勝利,o.未勝利
2009/12/26,2歳未勝利,2000,芝,未勝利,o.未勝利
2009/12/26,2歳新馬,1600,芝,新馬,o.未勝利
2009/12/26,2歳500万下,1200,ダ,500万,9.1勝
2009/12/26,3歳以上1000万下,1800,ダ,1000万,8.2勝
2009/12/26,香取特別(1000万下),1600,芝,1000万,8.2勝
2009/12/26,中山大障害(J.G1),4100,障,G1,1.G1
2009/12/26,師走S(OP),1800,ダ,OP,6.OP
2009/12/26,グレイトフルS(1600万下),2200,芝,1600万,7.3勝
2009/12/26,2歳未勝利,1000,ダ,未勝利,o.未勝利
2009/12/26,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/26,3歳以上500万下,1000,ダ,500万,9.1勝
2009/12/26,2歳未勝利,2000,芝,未勝利,o.未勝利
2009/12/26,2歳新馬,1200,芝,新馬,o.未勝利
2009/12/26,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/26,3歳以上500万下,1200,芝,500万,9.1勝
2009/12/26,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/26,3歳以上500万下,1800,芝,500万,9.1勝
2009/12/26,樅の木賞(500万下),1700,ダ,500万,9.1勝
2009/12/26,中京日経賞(1000万下),1200,芝,1000万,8.2勝
2009/12/26,長良川特別(500万下),2500,芝,500万,9.1勝
2009/12/26,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/26,2歳未勝利,1400,ダ,未勝利,o.未勝利
2009/12/26,2歳未勝利,1600,芝,未勝利,o.未勝利
2009/12/26,障害3歳以上未勝利,2970,障,未勝利,o.未勝利
2009/12/26,2歳未勝利,1800,芝,未勝利,o.未勝利
2009/12/26,2歳新馬,1200,ダ,新馬,o.未勝利
2009/12/26,2歳新馬,1600,芝,新馬,o.未勝利
2009/12/26,3歳以上500万下,1200,ダ,500万,9.1勝
2009/12/26,摂津特別(1000万下),1600,芝,1000万,8.2勝
2009/12/26,元町S(1600万下),2000,芝,1600万,7.3勝
2009/12/26,ラジオNIKKEI杯(G3),2000,芝,G3,3.G3
2009/12/26,3歳以上1000万下,1800,ダ,1000万,8.2勝
2009/12/20,2歳未勝利,1200,ダ,未勝利,o.未勝利
2009/12/20,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/20,2歳未勝利,1200,ダ,未勝利,o.未勝利
2009/12/20,2歳未勝利,2000,芝,未勝利,o.未勝利
2009/12/20,2歳新馬,1200,ダ,新馬,o.未勝利
2009/12/20,2歳新馬,1600,芝,新馬,o.未勝利
2009/12/20,3歳以上500万下,1800,ダ,500万,9.1勝
2009/12/20,3歳以上500万下,1200,ダ,500万,9.1勝
2009/12/20,千葉テレビ杯(1000万下),1800,ダ,1000万,8.2勝
2009/12/20,クリスマスC(1600万下),1600,芝,1600万,7.3勝
2009/12/20,朝日フューチュリティ(G1),1600,芝,G1,1.G1
2009/12/20,幕張特別(1000万下),1800,芝,1000万,8.2勝
2009/12/20,2歳未勝利,1000,ダ,未勝利,o.未勝利
2009/12/20,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/20,3歳以上500万下,1000,ダ,500万,9.1勝
2009/12/20,2歳未勝利,1800,芝,未勝利,o.未勝利
2009/12/20,2歳新馬,1200,芝,新馬,o.未勝利
2009/12/20,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/20,3歳以上500万下,2500,芝,500万,9.1勝
2009/12/20,3歳以上500万下,1700,ダ,500万,9.1勝
2009/12/20,3歳以上500万下,1200,芝,500万,9.1勝
2009/12/20,香嵐渓特別(1000万下),1700,ダ,1000万,8.2勝
2009/12/20,納屋橋S(1600万下),1200,芝,1600万,7.3勝
2009/12/20,犬山特別(500万下),1800,芝,500万,9.1勝
2009/12/20,2歳未勝利,1800,ダ,未勝利,o.未勝利
2009/12/20,2歳未勝利,1400,ダ,未勝利,o.未勝利
2009/12/20,2歳未勝利,1400,芝,未勝利,o.未勝利
2009/12/20,障害3歳以上未勝利,2970,障,未勝利,o.未勝利
2009/12/20,2歳新馬,1600,芝,新馬,o.未勝利
