開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2022/10/02,5中京9,晴,9,浜名湖特別(2勝クラス),,芝2000,10,良,2:02.4,38.7-34.1,スワヤンブナート,吉田隼人,[西]須貝尚介,アルディテッツァ,ダディーズトリップ
2022/10/02,5中京9,晴,10,白川郷S(3勝クラス),,ダ1900,14,良,1:59.0,29.8-37.7,ヴィアメント,藤岡佑介,[東]鹿戸雄一,リリーミニスター,ランスオブアース
2022/10/02,5中京9,晴,11,ポートアイランドS(L),,芝1600,12,良,1:33.1,35.7-33.9,アルサトワ,幸英明,[西]斉藤崇史,ヴィジュネル,アドマイヤビルゴ
2022/10/02,5中京9,晴,12,3歳以上2勝クラス,,ダ1400,16,良,1:23.5,35.0-36.7,カセノダンサー,吉田隼人,[西]中尾秀正,クリノクラール,フォーチュンテラー
2022/10/01,4中山8,晴,1,障害3歳以上未勝利,,障2880,12,良,3:14.7,107.1-0.0,メイショウアツイタ,難波剛健,[西]高橋義忠,グラスディアブロ,スマートキャノン
2022/10/01,4中山8,晴,2,2歳未勝利,,芝1200,16,良,1:09.4,34.0-35.4,クールムーア,Ｍ．デム,[東]矢野英一,パルフュメ,サンタアナテソーロ
2022/10/01,4中山8,晴,3,2歳未勝利,,ダ1800,15,良,1:55.5,37.8-39.5,ファルコンミノル,田辺裕信,[東]中舘英二,シャノンフォールズ,パーティーキング
2022/10/01,4中山8,晴,4,2歳未勝利,,芝2000,17,良,2:02.6,36.1-36.8,ビターグラッセ,田辺裕信,[東]栗田徹,ジュドー,コスモバラタ
2022/10/01,4中山8,晴,5,2歳新馬,,芝1600,16,良,1:36.4,37.5-34.3,クイーンオブソウル,津村明秀,[東]林徹,アルセリア,オルフェスト
2022/10/01,4中山8,晴,6,2歳新馬,,ダ1200,16,良,1:11.7,34.9-36.8,オメガシンフォニー,横山武史,[東]大和田成,ベリーベリーベリー,シュヴァルツリーベ
2022/10/01,4中山8,晴,7,3歳以上1勝クラス,,ダ1800,8,良,1:54.0,38.4-37.5,スマイルオンミー,武藤雅,[東]尾関知人,フミチャン,ウィズザワールド
2022/10/01,4中山8,晴,8,3歳以上1勝クラス,,ダ1200,16,良,1:11.0,33.7-37.3,プランセスカグヤ,小林脩斗,[東]武藤善則,ルプランドル,サンダビューク
2022/10/01,4中山8,晴,9,芙蓉S(OP),,芝2000,7,良,2:04.4,38.8-34.9,シーウィザード,浜中俊,[東]鹿戸雄一,ゴールデンハインド,オンザブロッサム
2022/10/01,4中山8,晴,10,勝浦特別(2勝クラス),,芝1200,14,良,1:07.7,33.4-34.3,サトノレーヴ,浜中俊,[東]堀宣行,モリノドリーム,カンティーユ
2022/10/01,4中山8,晴,11,秋風S(3勝クラス),,芝1600,16,良,1:33.3,34.4-36.0,フィアスプライド,浜中俊,[東]国枝栄,ゾンニッヒ,リトルクレバー
2022/10/01,4中山8,晴,12,3歳以上2勝クラス,,ダ1200,16,良,1:10.7,33.2-37.5,ケイサンフリーゼ,戸崎圭太,[西]杉山晴紀,パイプライン,ネヴァタップアウト
2022/10/01,5中京8,晴,1,2歳未勝利,,ダ1400,15,良,1:26.1,35.2-38.6,メアリー,団野大成,[西]浜田多実,マヴォロンテ,ハンベルジャイト
2022/10/01,5中京8,晴,2,2歳未勝利,,芝2000,10,良,2:01.4,36.9-34.9,ビップクロエ,和田竜二,[西]松下武士,ラバタンシン,ガルヴァナイズ
2022/10/01,5中京8,晴,3,2歳新馬,,ダ1800,12,良,1:55.0,37.5-38.5,プラーヴィ,松山弘平,[西]杉山晴紀,ロイガヴェーグル,ピエナパイロ
2022/10/01,5中京8,晴,4,3歳以上1勝クラス,,ダ1400,16,良,1:24.2,34.5-37.6,ロードアラビアン,福永祐一,[西]四位洋文,サクセスローレル,メイショウトール
